sentence,logit,prediction,sentiment_score
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",[0.05758755 0.00798366 0.93442875],neutral,0.04960389
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,[0.9392088  0.00887355 0.05191765],positive,0.9303352
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",[0.9452566  0.01510751 0.0396359 ],positive,0.9301491
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",[0.9509631  0.01220369 0.03683319],positive,0.9387594
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,[0.9502832  0.02386798 0.02584885],positive,0.92641526
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",[0.9470152  0.02398547 0.02899933],positive,0.9230298
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,[0.92495626 0.00838768 0.06665597],positive,0.9165686
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",[0.9214332  0.01109416 0.06747261],positive,0.91033906
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",[0.843632   0.01164743 0.14472057],positive,0.8319846
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",[0.95686036 0.01753649 0.02560312],positive,0.93932384
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",[0.9594142  0.01447607 0.02610982],positive,0.9449381
"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",[0.95470816 0.0156597  0.0296322 ],positive,0.93904847
"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",[0.95272    0.01675469 0.0305254 ],positive,0.9359653
"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",[0.923926   0.04371029 0.03236374],positive,0.8802157
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",[0.91025287 0.01104422 0.07870296],positive,0.89920866
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",[0.922974   0.00973204 0.06729398],positive,0.9132419
"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",[0.9019704  0.00854673 0.08948293],positive,0.8934237
"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",[0.9514809  0.01189594 0.03662311],positive,0.939585
"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",[0.95060766 0.0168168  0.03257553],positive,0.93379086
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),[0.9576463  0.01678271 0.02557099],positive,0.9408636
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",[0.92913777 0.0123237  0.0585385 ],positive,0.9168141
Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,[0.9521997  0.01243653 0.03536379],positive,0.9397632
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",[0.94865394 0.01786522 0.03348082],positive,0.9307887
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",[0.95238805 0.01628254 0.03132945],positive,0.9361055
"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",[0.9536481  0.01681742 0.02953448],positive,0.9368307
"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",[0.95479214 0.01778793 0.02741992],positive,0.9370042
"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .",[0.9421684  0.01631027 0.04152127],positive,0.92585814
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",[0.9574077  0.01279342 0.02979898],positive,0.9446143
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",[0.8822575  0.0101959  0.10754656],positive,0.8720616
10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,[0.9462045  0.02188287 0.03191267],positive,0.9243216
"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",[0.9519822  0.01416521 0.03385258],positive,0.937817
